Category,Description,Nutrient Data Bank Number,Alpha Carotene,Beta Carotene,Beta Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Lutein and Zeaxanthin,Lycopene,Niacin,Protein,Retinol,Riboflavin,Selenium,Sugar Total,Thiamin,Water,Fat.Monosaturated Fat,Fat.Polysaturated Fat,Fat.Saturated Fat,Fat.Total Lipid,Major Minerals.Calcium,Major Minerals.Copper,Major Minerals.Iron,Major Minerals.Magnesium,Major Minerals.Phosphorus,Major Minerals.Potassium,Major Minerals.Sodium,Major Minerals.Zinc,Vitamins.Vitamin A - RAE,Vitamins.Vitamin B12,Vitamins.Vitamin B6,Vitamins.Vitamin C,Vitamins.Vitamin E,Vitamins.Vitamin K
Tea,"Tea, iced, brewed, green, decaffeinated, unsweetened",92308550,0,0,0,0,0,0,0,0,0,0.03,0,0,0.058,0,0,0.007,99.93,0,0,0,0,0,0.005,0,1,0,15,0,0.01,0,0,0.005,0,0,0
Tea,"Tea, iced, bottled, black, diet",92309020,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,99.72,0,0,0,0,0,0.005,0,0,33,14,17,0,0,0,0,0,0,0
Tea,"Tea, iced, bottled, black, decaffeinated, diet",92309030,0,0,0,0.83,0,0,0,0,0,0,0,0,0,0,0,0,99.14,0,0,0,0,11,0.008,0,2,4,27,4,0.01,0,0,0,0,0,0
Tea,"Tea, iced, bottled, black, unsweetened",92309040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.89,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Tea,"Tea, iced, bottled, black, decaffeinated, unsweetened",92309050,0,0,0,0.3,0,0.4,0,0,0,0,0,0,0.014,0,0,0,99.7,0.001,0.004,0.002,0,0,0.01,0.02,3,1,37,3,0.02,0,0,0,0,0,0
Tea,"Tea, iced, bottled, green, unsweetened",92309520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.88,0,0,0,0,1,0.005,0,0,26,19,7,0.01,0,0,0,0,0,0
Vegetable juice,"Vegetable and fruit juice, 100% juice, with high vitamin C",78101000,1,427,0,11.15,0,0.2,0,2,144,0.013,0.3,0,0.001,0,10.37,0.001,88.4,0,0,0,0.01,8,0.012,0.31,7,1,101,29,0.01,36,0,0.016,28.5,0.87,0.1
Vegetable juice,Beet juice,73105000,0,12,0,5.91,0,6.2,1.1,0,0,0.136,0.72,0,0.034,0.4,4.84,0.009,92.45,0.012,0.022,0.01,0.06,12,0.088,0.57,14,14,128,19,0.21,1,0,0.05,2.5,0.03,0.1
Vegetable juice,"Carrot juice, 100%",73105010,4342,9303,0,9.28,0,9.9,0.8,333,2,0.386,0.95,0,0.055,0.6,3.91,0.092,88.87,0.007,0.071,0.027,0.15,24,0.046,0.46,14,42,292,66,0.18,956,0,0.217,8.5,1.16,15.5
Vegetable juice,Aloe vera juice drink,75200700,0,0,0,3.75,0,0,0,0,0,0,0,0,0,0,3.75,0,96.23,0,0,0,0,8,0,0.15,0,0,0,8,0,0,0,0,3.8,0,0
