Category,Description,Nutrient Data Bank Number,Alpha Carotene,Beta Carotene,Beta Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Lutein and Zeaxanthin,Lycopene,Niacin,Protein,Retinol,Riboflavin,Selenium,Sugar Total,Thiamin,Water,Fat.Monosaturated Fat,Fat.Polysaturated Fat,Fat.Saturated Fat,Fat.Total Lipid,Major Minerals.Calcium,Major Minerals.Copper,Major Minerals.Iron,Major Minerals.Magnesium,Major Minerals.Phosphorus,Major Minerals.Potassium,Major Minerals.Sodium,Major Minerals.Zinc,Vitamins.Vitamin A - RAE,Vitamins.Vitamin B12,Vitamins.Vitamin B6,Vitamins.Vitamin C,Vitamins.Vitamin E,Vitamins.Vitamin K
Coffee/Coffee drink,"Frozen mocha coffee drink, nonfat, with whipped cream",92102040,0,5,0,12.54,7,9,0,0,0,0.811,1.61,48,0.094,1.2,11.76,0.025,83.42,0.476,0.097,1.221,1.93,60,0.038,0.03,21,54,102,34,0.26,48,0.25,0.027,0.1,0.05,0.2
Coffee/Coffee drink,"Frozen mocha coffee drink, decaffeinated, with whipped cream",92102090,0,5,0,12.6,9,8.8,0,0,0,0.788,1.58,56,0.096,1.1,11.74,0.027,82.64,0.641,0.119,1.675,2.71,58,0.037,0.02,20,53,99,34,0.25,56,0.24,0.029,0.1,0.06,0.3
Coffee/Coffee drink,"Frozen mocha coffee drink, with whipped cream",92102030,0,5,0,12.55,9,9,0,0,0,0.808,1.57,56,0.096,1.1,11.69,0.027,82.7,0.638,0.118,1.668,2.7,58,0.037,0.03,21,52,99,34,0.25,56,0.24,0.029,0.1,0.06,0.3
Coffee/Coffee drink,"Frozen mocha coffee drink, decaffeinated, with non-dairy milk and whipped cream",92102110,0,4,0,12.66,6,6.7,0.1,0,0,0.843,0.79,51,0.079,0.8,11.44,0.008,83.68,0.671,0.325,1.263,2.41,68,0.076,0.17,20,20,71,42,0.14,51,0.19,0.009,0.1,0.64,0.8
Coffee/Coffee drink,"Frozen mocha coffee drink, with non-dairy milk and whipped cream",92102050,0,4,0,12.6,6,6.9,0.1,0,0,0.863,0.79,51,0.079,0.8,11.39,0.008,83.74,0.668,0.324,1.257,2.4,68,0.076,0.17,20,20,71,42,0.13,51,0.19,0.009,0.1,0.64,0.8
Coffee/Coffee drink,"Coffee, bottled/canned",92171000,0,0,0,12.6,5,0,0,0,0,1.32,1.98,0,0.193,0,10.67,0.043,83.56,0.293,0.038,0,1.38,74,0.002,0.04,9,59,175,26,0.26,0,0.51,0,0,0.01,0.1
Coffee/Coffee drink,"Coffee, Cafe Mocha, decaffeinated, nonfat",92101970,0,2,0,10.22,2,12.6,0,0,0,0.882,2.61,48,0.129,1.7,9.42,0.039,86.36,0.013,0.018,0.051,0.09,100,0.038,0.02,25,88,155,47,0.4,48,0.35,0.041,0,0,0
Coffee/Coffee drink,"Coffee, Cafe Mocha, nonfat",92101955,0,2,0,10.17,2,12.8,0,0,0,0.903,2.6,48,0.129,1.6,9.37,0.039,86.41,0.013,0.019,0.051,0.09,100,0.038,0.02,25,87,155,47,0.4,48,0.35,0.041,0,0,0
Coffee/Coffee drink,"Coffee, Cafe Mocha",92101950,0,2,0,10.23,6,12.9,0,0,0,0.877,2.56,63,0.133,1.5,9.3,0.041,85.07,0.303,0.058,0.855,1.47,96,0.037,0.02,25,84,149,46,0.38,63,0.33,0.043,0.2,0.02,0.2
Coffee/Coffee drink,"Coffee, Cafe Mocha, decaffeinated",92101965,0,2,0,10.23,6,12.6,0,0,0,0.877,2.55,63,0.133,1.5,9.3,0.041,85.07,0.303,0.058,0.855,1.47,96,0.037,0.02,25,84,149,46,0.38,63,0.33,0.043,0.2,0.02,0.2
Coffee/Coffee drink,"Coffee, Cafe Mocha, decaffeinated, with non-dairy milk",92101975,0,1,0,10.35,0,10.3,0.1,0,0,0.977,1.15,54,0.103,1.1,8.77,0.012,86.91,0.359,0.426,0.121,0.94,114,0.106,0.28,23,26,99,60,0.18,54,0.32,0.013,0,1.07,1.2
Coffee/Coffee drink,"Coffee, Cafe Mocha, with non-dairy milk",92101960,0,1,0,10.3,0,10.5,0.1,0,0,0.998,1.14,53,0.103,1.1,8.73,0.012,86.97,0.358,0.425,0.12,0.94,113,0.106,0.28,24,26,99,60,0.18,53,0.32,0.013,0,1.06,1.2
Coffee/Coffee drink,"Coffee, Iced Cafe Mocha, decaffeinated, nonfat",92102611,0,1,0,8.98,1,8.7,0,0,0,0.87,1.62,30,0.091,1.1,8.11,0.027,88.81,0.008,0.017,0.037,0.06,63,0.041,0.02,22,57,108,37,0.27,30,0.27,0.028,0,0,0
Coffee/Coffee drink,"Coffee, Iced Cafe Mocha, nonfat",92102601,0,1,0,8.94,1,9,0,0,0,0.892,1.61,30,0.092,1.1,8.07,0.027,88.86,0.008,0.017,0.037,0.07,63,0.041,0.02,23,56,108,36,0.27,30,0.27,0.028,0,0,0
Coffee/Coffee drink,"Coffee, Iced Cafe Mocha, decaffeinated",92102610,0,1,0,8.99,4,8.7,0,0,0,0.867,1.58,39,0.094,1,8.03,0.028,88.02,0.187,0.041,0.533,0.92,60,0.04,0.02,22,55,104,36,0.26,39,0.26,0.03,0.1,0.02,0.1
Coffee/Coffee drink,"Coffee, Iced Cafe Mocha",92102600,0,1,0,8.95,4,9,0,0,0,0.889,1.58,39,0.095,1,7.99,0.028,88.07,0.186,0.041,0.531,0.91,60,0.04,0.02,22,55,104,35,0.26,39,0.26,0.03,0.1,0.02,0.1
Coffee/Coffee drink,"Coffee, Iced Cafe Mocha, decaffeinated, with non-dairy milk",92102612,0,0,0,9.06,0,6.5,0.1,0,0,0.928,0.72,33,0.075,0.7,7.71,0.008,89.16,0.222,0.269,0.08,0.59,71,0.083,0.18,21,19,73,45,0.14,33,0.2,0.008,0,0.66,0.7
Coffee/Coffee drink,"Coffee, Iced Cafe Mocha, with non-dairy milk",92102602,0,0,0,9.02,0,6.7,0.1,0,0,0.95,0.72,33,0.076,0.7,7.67,0.007,89.2,0.221,0.268,0.08,0.59,71,0.083,0.18,22,19,73,44,0.13,33,0.2,0.008,0,0.66,0.7
Coffee/Coffee drink,"Coffee, Latte, decaffeinated, nonfat, flavored",92101918,0,2,0,7.52,2,13.4,0,0,0,0.923,2.79,52,0.135,1.6,7.38,0.041,88.91,0.014,0.019,0.054,0.1,107,0.01,0.02,23,88,153,35,0.37,52,0.38,0.042,0,0,0
Coffee/Coffee drink,"Coffee, Latte, nonfat, flavored",92101905,0,2,0,7.48,2,13.6,0,0,0,0.946,2.78,51,0.135,1.6,7.35,0.041,88.95,0.014,0.02,0.054,0.1,106,0.01,0.02,23,87,153,35,0.37,51,0.37,0.042,0,0,0
Coffee/Coffee drink,"Coffee, Latte, decaffeinated, flavored",92101917,0,2,0,7.53,6,13.4,0,0,0,0.918,2.72,67,0.139,1.5,7.26,0.043,87.53,0.323,0.061,0.911,1.57,102,0.009,0.02,22,84,147,34,0.36,67,0.36,0.045,0.2,0.02,0.2
Coffee/Coffee drink,"Coffee, Latte, flavored",92101904,0,2,0,7.5,6,13.6,0,0,0,0.941,2.71,67,0.14,1.5,7.22,0.043,87.59,0.321,0.062,0.907,1.57,102,0.009,0.02,23,84,147,34,0.35,67,0.35,0.044,0.2,0.03,0.2
Coffee/Coffee drink,"Coffee, Latte, decaffeinated, with non-dairy milk, flavored",92101919,0,1,0,7.66,0,10.9,0.2,0,0,1.024,1.22,57,0.107,1,6.7,0.012,89.49,0.383,0.454,0.129,1.01,121,0.083,0.3,21,22,94,49,0.14,57,0.34,0.013,0,1.14,1.2
Coffee/Coffee drink,"Coffee, Latte, with non-dairy milk, flavored",92101906,0,1,0,7.63,0,11.1,0.2,0,0,1.046,1.22,57,0.107,1,6.66,0.012,89.54,0.381,0.452,0.128,1.01,121,0.082,0.3,21,22,94,49,0.14,57,0.34,0.013,0,1.13,1.2
Coffee/Coffee drink,"Coffee, Turkish",92101600,0,0,0,6.47,0,2.4,0,0,0,0.179,0.11,0,0.072,0,6.48,0.013,92.94,0.014,0.001,0.002,0.04,2,0.002,0.01,3,3,46,2,0.02,0,0,0.001,0,0.01,0.1
Coffee/Coffee drink,"Coffee, Cuban",92101800,0,0,0,7.84,0,2.4,0,0,0,4.879,0.11,0,0.167,0,6.28,0.001,91.64,0,0.086,0.086,0.19,2,0.047,0.12,75,7,108,13,0.05,0,0,0.002,0.2,0.01,0.1
Coffee/Coffee drink,"Coffee, Iced Latte, decaffeinated, nonfat, flavored",92102514,0,1,0,6.12,1,9.3,0,0,0,0.911,1.73,32,0.095,1,5.92,0.028,91.61,0.008,0.018,0.04,0.08,67,0.012,0.02,20,55,103,24,0.23,32,0.29,0.029,0,0,0
Coffee/Coffee drink,"Coffee, bottled/canned, light",92171010,0,1,0,5.91,3,8.1,0,0,0,0.155,1.27,30,0.095,0.7,5.91,0.029,91.57,0.152,0.021,0.397,0.7,46,0.002,0.01,6,39,86,15,0.17,30,0.2,0.022,0.1,0.02,0.1
Coffee/Coffee drink,"Coffee, Iced Latte, nonfat, flavored",92102504,0,1,0,6.09,1,9.5,0,0,0,0.935,1.72,32,0.095,1,5.89,0.028,91.64,0.008,0.018,0.04,0.08,67,0.012,0.02,20,54,103,24,0.23,32,0.29,0.029,0,0,0
Coffee/Coffee drink,"Coffee, macchiato, sweetened",92101820,0,1,0,6.9,3,6.8,0,0,0,3.374,1.13,18,0.158,0.6,5.85,0.017,90.82,0.134,0.08,0.426,0.76,41,0.033,0.09,55,37,123,21,0.17,19,0.14,0.018,0.1,0.02,0.1
Coffee/Coffee drink,"Coffee, Iced Latte, decaffeinated, flavored",92102513,0,1,0,6.12,4,9.3,0,0,0,0.908,1.69,41,0.098,0.9,5.84,0.03,90.76,0.2,0.044,0.569,0.99,64,0.012,0.02,19,53,99,23,0.22,41,0.28,0.031,0.1,0.02,0.1
Coffee/Coffee drink,"Coffee, Iced Latte, flavored",92102503,0,1,0,6.1,4,9.5,0,0,0,0.932,1.68,41,0.098,0.9,5.81,0.029,90.8,0.199,0.044,0.567,0.98,64,0.012,0.02,20,52,99,23,0.22,41,0.27,0.031,0.1,0.02,0.1
Coffee/Coffee drink,"Coffee, Iced Latte, decaffeinated, with non-dairy milk, flavored",92102515,0,1,0,6.21,0,6.8,0.1,0,0,0.973,0.76,35,0.078,0.6,5.5,0.007,91.96,0.237,0.287,0.086,0.64,76,0.057,0.2,19,14,66,32,0.09,35,0.21,0.008,0,0.7,0.8
Coffee/Coffee drink,"Coffee, Iced Latte, with non-dairy milk, flavored",92102505,0,0,0,6.18,0,7.1,0.1,0,0,0.996,0.76,35,0.079,0.6,5.47,0.007,92,0.236,0.286,0.086,0.64,76,0.057,0.2,19,14,66,32,0.09,35,0.21,0.008,0,0.7,0.8
Coffee/Coffee drink,"Coffee, cafe con leche, decaffeinated",92101851,0,2,0,5.72,4,9.3,0,0,0,2.571,1.69,29,0.153,1,4.92,0.028,91.03,0.209,0.076,0.617,1.08,63,0.025,0.06,45,54,133,26,0.23,29,0.28,0.03,0.1,0.02,0.1
Coffee/Coffee drink,"Coffee, cafe con leche",92101850,0,2,0,5.64,4,9.9,0,0,0,2.613,1.67,28,0.154,0.9,4.84,0.028,91.14,0.206,0.077,0.608,1.06,62,0.025,0.06,45,53,132,26,0.23,28,0.27,0.03,0.1,0.02,0.1
Tea,"Tea, iced, instant, green, unsweetened",92305900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.88,0,0,0,0,1,0.005,0,0,26,19,7,0.01,0,0,0,0,0,0
Coffee/Coffee drink,"Coffee, Latte, decaffeinated, nonfat",92101911,0,2,0,4.36,3,13.9,0,0,0,0.955,2.88,53,0.139,1.7,4.22,0.042,91.95,0.014,0.02,0.056,0.1,111,0.01,0.02,24,91,158,37,0.38,53,0.39,0.044,0,0,0
Coffee/Coffee drink,"Coffee, Latte, nonfat",92101901,0,2,0,4.35,2,14.1,0,0,0,0.978,2.87,53,0.139,1.7,4.2,0.042,91.98,0.014,0.021,0.056,0.1,110,0.01,0.02,24,90,158,36,0.38,53,0.39,0.044,0,0,0
Coffee/Coffee drink,"Coffee, Latte, decaffeinated",92101910,0,3,0,4.38,7,13.9,0,0,0,0.95,2.82,69,0.144,1.5,4.09,0.045,90.53,0.334,0.064,0.943,1.62,106,0.009,0.02,23,87,152,35,0.37,69,0.37,0.046,0.2,0.02,0.2
Coffee/Coffee drink,"Coffee, Latte",92101900,0,2,0,4.36,7,14.1,0,0,0,0.973,2.8,69,0.144,1.5,4.06,0.044,90.57,0.332,0.064,0.938,1.61,105,0.009,0.02,23,87,152,35,0.37,69,0.37,0.046,0.2,0.03,0.2
Coffee/Coffee drink,"Coffee, Latte, decaffeinated, with non-dairy milk",92101913,0,1,0,4.53,0,11.3,0.2,0,0,1.059,1.26,59,0.11,1,3.52,0.012,92.55,0.396,0.47,0.133,1.03,126,0.085,0.31,22,23,97,51,0.14,59,0.36,0.013,0,1.17,1.3
Coffee/Coffee drink,"Coffee, Latte, with non-dairy milk",92101903,0,1,0,4.51,0,11.5,0.2,0,0,1.082,1.26,59,0.11,1,3.5,0.012,92.58,0.394,0.468,0.133,1.03,125,0.085,0.31,22,23,97,51,0.14,59,0.35,0.013,0,1.17,1.3
Tea,"Tea, iced, instant, green, pre-sweetened with sugar",92305910,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,5.32,0,93.54,0,0,0,0.22,1,0.005,0,0,31,12,21,0.01,0,0,0,0,0,0
Tea,"Tea, iced, instant, green, pre-sweetened with low calorie sweetener",92305920,0,0,0,0.93,0,0,0,0,0,0,0,0,0,0,0.93,0,98.71,0,0,0,0,1,0.005,0,1,0,5,6,0.01,0,0,0,9.5,0,0
Coffee/Coffee drink,"Coffee, pre-lightened and pre-sweetened with sugar",92130000,0,0,0,5.11,0,0.9,0,0,0,0.223,0.15,0,0.001,0.1,3.45,0,93.83,0.203,0.01,0.397,0.7,4,0.011,0.04,4,8,42,7,0.01,0,0,0,0,0.03,0
Coffee/Coffee drink,"Coffee, decaffeinated, pre-lightened and pre-sweetened with sugar",92130001,0,0,0,5.11,0,0.9,0,0,0,0.222,0.14,0,0.011,0.2,3.45,0,93.83,0.203,0.009,0.397,0.69,4,0.011,0.04,3,8,42,7,0.01,0,0,0,0,0.03,0
Tea,"Tea, iced, instant, black, unsweetened",92305010,0,0,0,0.23,0,0.2,0,0,0,0.018,0.02,0,0.002,0,0.01,0,99.62,0,0,0,0,3,0.011,0,1,0,10,4,0.01,0,0,0.001,0,0,0
Coffee/Coffee drink,"Coffee, pre-sweetened with sugar",92130020,0,0,0,3.96,0,0.8,0,0,0,0.228,0.1,0,0.001,0.1,3.36,0,95.75,0,0.002,0.002,0.02,4,0.011,0.04,4,2,29,4,0.01,0,0,0,0,0,0
Coffee/Coffee drink,"Coffee, decaffeinated, pre-sweetened with sugar",92130021,0,0,0,3.97,0,0.8,0,0,0,0.227,0.09,0,0.012,0.2,3.36,0,95.75,0,0.001,0.001,0.01,4,0.01,0.03,3,2,28,4,0.01,0,0,0,0,0,0
Coffee/Coffee drink,"Coffee, Iced Latte, decaffeinated, nonfat",92102511,0,1,0,2.81,2,9.6,0,0,0,0.944,1.79,33,0.098,1,2.61,0.029,94.84,0.009,0.019,0.041,0.07,70,0.012,0.02,20,56,106,25,0.24,33,0.3,0.03,0,0,0
Coffee/Coffee drink,"Coffee, Iced Latte, nonfat",92102501,0,1,0,2.8,2,9.8,0,0,0,0.967,1.78,33,0.098,1,2.6,0.029,94.86,0.009,0.019,0.041,0.07,69,0.013,0.02,21,56,106,24,0.24,33,0.3,0.03,0,0,0
Coffee/Coffee drink,"Coffee, Cappuccino, decaffeinated, nonfat",92162001,0,1,0,2.76,2,8.5,0,0,0,0.924,1.75,32,0.096,1,2.56,0.026,94.94,0.009,0.018,0.04,0.07,68,0.013,0.02,20,55,104,24,0.24,32,0.24,0.027,0,0,0
Coffee/Coffee drink,"Coffee, Cappuccino, nonfat",92161001,0,1,0,2.75,2,8.7,0,0,0,0.948,1.75,32,0.096,1,2.54,0.026,94.96,0.009,0.019,0.04,0.07,68,0.013,0.02,20,55,104,24,0.24,32,0.23,0.027,0,0,0
Coffee/Coffee drink,"Coffee, Iced Latte, decaffeinated",92102510,0,2,0,2.82,4,9.6,0,0,0,0.94,1.75,43,0.101,0.9,2.53,0.031,93.96,0.207,0.046,0.589,1.01,66,0.012,0.02,20,54,102,23,0.23,43,0.28,0.032,0.1,0.02,0.1
Coffee/Coffee drink,"Coffee, Iced Latte",92102500,0,2,0,2.82,4,9.8,0,0,0,0.964,1.74,43,0.101,0.9,2.51,0.031,93.98,0.206,0.046,0.587,1.01,66,0.012,0.02,20,54,102,23,0.23,43,0.28,0.032,0.1,0.02,0.1
Coffee/Coffee drink,"Coffee, Cappuccino, decaffeinated",92162000,0,2,0,2.77,4,8.5,0,0,0,0.921,1.71,42,0.099,0.9,2.48,0.027,94.08,0.202,0.045,0.577,0.99,65,0.012,0.02,20,53,100,23,0.23,42,0.22,0.028,0.1,0.02,0.1
Coffee/Coffee drink,"Coffee, Cappuccino",92161000,0,2,0,2.76,4,8.7,0,0,0,0.945,1.71,42,0.099,0.9,2.46,0.027,94.1,0.201,0.045,0.575,0.99,65,0.012,0.02,20,53,100,23,0.23,42,0.22,0.028,0.1,0.02,0.1
Coffee/Coffee drink,"Coffee, Iced Latte, decaffeinated, with non-dairy milk",92102512,0,1,0,2.92,0,7.1,0.1,0,0,1.008,0.79,37,0.08,0.6,2.18,0.008,95.2,0.246,0.298,0.089,0.65,79,0.059,0.2,19,15,68,33,0.09,37,0.22,0.008,0,0.73,0.8
Coffee/Coffee drink,"Coffee, Iced Latte, with non-dairy milk",92102502,0,1,0,2.91,0,7.3,0.1,0,0,1.031,0.79,36,0.081,0.6,2.17,0.008,95.22,0.244,0.296,0.089,0.65,79,0.059,0.2,20,15,68,33,0.09,36,0.22,0.008,0,0.72,0.8
Coffee/Coffee drink,"Coffee, Cappuccino, decaffeinated, with non-dairy milk",92162002,0,1,0,2.87,0,6.9,0.1,0,0,0.983,0.78,36,0.079,0.6,2.15,0.008,95.28,0.242,0.293,0.087,0.64,78,0.058,0.2,19,14,66,33,0.09,36,0.22,0.008,0,0.72,0.8
Coffee/Coffee drink,"Coffee, Cappuccino, with non-dairy milk",92161002,0,1,0,2.86,0,7.2,0.1,0,0,1.006,0.78,36,0.079,0.6,2.14,0.008,95.29,0.241,0.292,0.087,0.64,77,0.058,0.2,19,14,67,33,0.09,36,0.22,0.008,0,0.71,0.8
Coffee/Coffee drink,"Coffee, macchiato",92101810,0,1,0,2.72,3,7.1,0,0,0,3.526,1.18,19,0.164,0.6,1.61,0.018,94.91,0.14,0.083,0.445,0.78,43,0.034,0.09,58,39,129,22,0.17,19,0.15,0.019,0.2,0.02,0.1
Tea,"Tea, iced, instant, black, pre-sweetened with sugar",92305040,0,0,0,7.31,0,0.1,0.1,0,0,0.009,0.01,0,0,0,7.07,0.001,92.5,0.002,0.016,0.007,0.05,3,0.01,0.02,1,0,13,4,0.01,0,0,0.001,0,0,0
Tea,"Tea, iced, instant, black, pre-sweetened with low calorie sweetener",92305090,0,0,0,0.44,0,0.2,0,0,0,0.02,0.02,0,0.002,0,0.01,0,99.41,0,0,0,0,3,0.01,0.05,2,1,14,6,0.01,0,0,0.001,0,0,0
Tea,"Tea, iced, instant, black, decaffeinated, unsweetened",92305180,0,0,0,0.17,0,0.3,0,0,0,0.032,0.06,0,0.003,0,0.02,0,99.62,0,0,0,0,3,0.012,0.01,2,1,18,4,0.02,0,0,0.001,0,0,0
Tea,"Tea, iced, instant, black, decaffeinated, pre-sweetened with sugar",92305050,0,0,0,7.89,0,0.3,0,0,0,0.029,0.06,0,0.004,0.1,7.76,0,91.89,0,0,0,0.02,3,0.011,0.01,2,1,17,4,0.02,0,0,0.001,0,0,0
Coffee/Coffee drink,"Coffee, pre-lightened and pre-sweetened with low calorie sweetener",92130005,0,0,0,2.37,0,0.9,0,0,0,0.229,0.15,0,0.001,0.1,0.6,0,96.56,0.209,0.01,0.409,0.7,4,0.011,0.04,4,9,43,7,0.01,0,0,0,0,0.03,0.1
Coffee/Coffee drink,"Coffee, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener",92130006,0,0,0,2.38,0,0.9,0,0,0,0.229,0.15,0,0.011,0.1,0.6,0,96.56,0.209,0.01,0.408,0.7,4,0.011,0.04,4,8,43,7,0.01,0,0,0,0,0.03,0.1
Coffee/Coffee drink,"Coffee, pre-sweetened with low calorie sweetener",92130030,0,0,0,1.13,0,0.8,0,0,0,0.235,0.1,0,0.001,0.1,0.45,0,98.59,0,0.002,0.002,0,4,0.011,0.04,4,3,29,4,0.01,0,0,0,0,0,0
Coffee/Coffee drink,"Coffee, decaffeinated, pre-sweetened with low calorie sweetener",92130031,0,0,0,1.14,0,0.8,0,0,0,0.234,0.1,0,0.011,0.1,0.45,0,98.59,0,0.001,0.001,0,4,0.01,0.03,4,2,29,4,0.01,0,0,0,0,0,0
Coffee/Coffee drink,"Coffee, pre-lightened",92130010,0,0,0,1.88,0,0.9,0,0,0,0.231,0.15,0,0.001,0.1,0.17,0,97.04,0.21,0.01,0.411,0.71,4,0.011,0.04,4,9,43,7,0.01,0,0,0,0,0.03,0.1
Coffee/Coffee drink,"Coffee, decaffeinated, pre-lightened",92130011,0,0,0,1.89,0,0.9,0,0,0,0.23,0.15,0,0.011,0.1,0.17,0,97.03,0.21,0.01,0.411,0.71,4,0.011,0.04,4,9,43,7,0.01,0,0,0,0,0.03,0.1
Coffee/Coffee drink,"Coffee, NS as to type",92100000,0,0,0,0,0,2.6,0,0,0,0.191,0.12,0,0.076,0,0,0.014,99.39,0.015,0.001,0.002,0.02,2,0.002,0.01,3,3,49,2,0.02,0,0,0.001,0,0.01,0.1
Tea,"Tea, iced, instant, black, decaffeinated, pre-sweetened with low calorie sweetener",92305110,0,0,0,0.72,0,0.3,0,0,0,0.032,0.03,0,0.003,0,0.02,0,99.09,0,0,0,0,3,0.011,0.07,2,1,21,7,0.02,0,0,0.001,0,0,0
Coffee/Coffee drink,"Coffee, brewed",92101000,0,0,0,0,0,2.6,0,0,0,0.191,0.12,0,0.076,0,0,0.014,99.39,0.015,0.001,0.002,0.02,2,0.002,0.01,3,3,49,2,0.02,0,0,0.001,0,0.01,0.1
Coffee/Coffee drink,"Coffee, brewed, blend of regular and decaffeinated",92101500,0,0,0,0,0,1.8,0,0,0,0.206,0.11,0,0.038,0,0,0.007,99.34,0.008,0.002,0.002,0.01,2,0.005,0.03,4,2,52,2,0.02,0,0,0,0,0,0.1
Coffee/Coffee drink,"Coffee, espresso",92101610,0,0,0,1.67,0,2.6,0,0,0,5.207,0.12,0,0.177,0,0,0.001,97.8,0,0.092,0.092,0.18,2,0.05,0.13,80,7,115,14,0.05,0,0,0.002,0.2,0.01,0.1
Coffee/Coffee drink,"Coffee, espresso, decaffeinated",92101630,0,0,0,1.69,0,1,0,0,0,5.207,0.1,0,0.177,0,0,0.001,97.8,0,0.092,0.092,0.18,2,0.05,0.13,80,7,115,14,0.05,0,0,0.002,0.2,0,0.1
Coffee/Coffee drink,"Coffee, brewed, flavored",92101700,0,0,0,0,0,2.6,0,0,0,0.191,0.12,0,0.076,0,0,0.014,99.39,0.015,0.001,0.002,0.02,2,0.002,0.01,3,3,49,2,0.02,0,0,0.001,0,0.01,0.1
Nutritional drink or shake,"Nutritional drink or shake, ready-to-drink (Carnation Instant Breakfast)",95102000,0,3,0,12.95,9,35.1,0.1,0,0,1.971,5.52,133,0.145,3.2,12.91,0.161,78.29,0.411,0.093,1.084,1.92,147,0.189,1.69,40,145,261,84,1.5,133,0.71,0.202,10.2,1.26,12
Coffee/Coffee drink,"Coffee, NS as to brewed or instant, decaffeinated",92111000,0,0,0,0,0,1,0,0,0,0.222,0.1,0,0,0.1,0,0,99.3,0,0.002,0.002,0,2,0.007,0.05,5,1,54,2,0.02,0,0,0,0,0,0.1
Coffee/Coffee drink,"Coffee, NS as to brewed or instant",92100500,0,0,0,0,0,2.6,0,0,0,0.191,0.12,0,0.076,0,0,0.014,99.39,0.015,0.001,0.002,0.02,2,0.002,0.01,3,3,49,2,0.02,0,0,0.001,0,0.01,0.1
Coffee/Coffee drink,"Coffee, brewed, decaffeinated",92111010,0,0,0,0,0,1,0,0,0,0.222,0.1,0,0,0.1,0,0,99.3,0,0.002,0.002,0,2,0.007,0.05,5,1,54,2,0.02,0,0,0,0,0,0.1
Coffee/Coffee drink,"Coffee, mocha, instant, pre-lightened and pre-sweetened with sugar, reconstituted",92121020,0,0,0,6.49,0,2.3,0.1,0,0,0.162,0.43,0,0.002,0.4,4.32,0.002,90.93,0.836,0.084,0.737,1.8,22,0.041,0,6,24,87,29,0.08,0,0.03,0.004,0,0.02,0.1
Coffee/Coffee drink,"Coffee, mocha, instant, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted",92121030,0,0,0,2.46,0,0.7,0.2,0,0,0.202,0.32,0,0.004,0.2,1.14,0.001,96.57,0.031,0.012,0.371,0.43,5,0.028,0.11,6,15,67,20,0.04,0,0,0.001,0,0,0.1
Coffee/Coffee drink,"Coffee, mocha, instant, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted",92121050,0,0,0,2.33,0,0.5,0.2,0,0,0.152,0.29,0,0.004,0.1,1.14,0.001,96.74,0.031,0.011,0.372,0.43,5,0.028,0.1,5,15,61,20,0.04,0,0,0.001,0,0,0.1
Coffee/Coffee drink,"Coffee, instant, reconstituted",92103000,0,0,0,0.63,0,0.9,0,0,0,0.236,0.1,0,0.001,0.1,0,0,99.09,0,0.002,0.002,0,4,0.011,0.04,4,3,30,4,0.01,0,0,0,0,0,0
Cold drink/Smoothie,"Fruit smoothie juice drink, with dairy",11553130,5,7,0,15.05,1,4,0.9,17,0,0.217,0.86,1,0.028,0.3,12.68,0.023,83.61,0.049,0.052,0,0.14,20,0.038,0.14,11,11,131,14,0.09,2,0,0.108,5.2,0.03,0.3
Cold drink/Smoothie,"Fruit and vegetable smoothie, bottled",78101120,5,247,15,12.53,0,4.3,0.7,183,0,0.29,0.6,0,0.09,0.4,11.15,0.07,86.25,0.04,0.073,0.053,0.26,11,0.053,0.42,10,15,165,6,0.06,21,0.63,0.075,8.2,0.3,21.2
Cold drink/Smoothie,Licuado or Batido,11551050,4,8,0,13.1,5,13.9,0.7,8,0,0.242,2.4,37,0.104,1.5,10.86,0.045,82.44,0.281,0.076,0.758,1.38,83,0.022,0.11,14,72,184,25,0.32,38,0.35,0.109,9.9,0.08,0.5
Cold drink/Smoothie,"Fruit smoothie, bottled",64134200,7,11,9,11.66,0,3.8,0.6,26,0,0.31,0.48,0,0.057,0.4,10.05,0.04,87.28,0.016,0.029,0.061,0.27,10,0.04,0.2,14,18,201,2,0.08,2,0,0.115,8.4,0.13,2.1
Cold drink/Smoothie,"Horchata beverage, made with milk",92610030,0,2,1,19.66,2,3.6,0.4,1,0,0.535,1.42,5,0.03,2.2,9.56,0.079,78.01,0.137,0.039,0.323,0.63,30,0.036,0.57,6,31,41,9,0.22,5,0.09,0.031,0,0.03,0.2
Cold drink/Smoothie,"Fruit and vegetable smoothie, no dairy",78101125,13,915,12,14.5,0,9.7,1.5,1976,0,0.497,1.18,0,0.076,0.6,8.53,0.045,83.23,0.024,0.068,0.059,0.24,44,0.07,0.59,28,29,307,14,0.17,77,0,0.205,23.3,0.46,77.6
Cold drink/Smoothie,"Fruit smoothie, NFS",11553100,3,14,0,11.65,4,11.8,1.2,19,0,0.311,2.4,19,0.11,1.6,8.23,0.039,84.22,0.236,0.094,0.57,1.07,81,0.03,0.22,14,68,180,28,0.37,20,0.28,0.092,9,0.16,3.3
